Date,Price,Open,High,Low,Vol.,Change ,Change p,Constant,Returns
5-Apr,"10,192.51","10,504.57","10,568.93","10,000.46",5.85B,-2.96%,-0.0296,,-2.96
5-Mar,"10,503.76","10,769.04","10,984.46","10,396.24",5.82B,-2.44%,-0.0244,,-2.44
5-Feb,"10,766.23","10,489.72","10,853.43","10,489.64",5.04B,2.63%,0.0263,,2.63
5-Jan,"10,489.94","10,783.75","10,867.39","10,368.61",5.30B,-2.72%,-0.0272,,-2.72
4-Dec,"10,783.01","10,425.80","10,868.07","10,418.63",5.74B,3.40%,0.034,,3.4
4-Nov,"10,428.02","10,028.73","10,602.85","10,010.15",5.61B,3.99%,0.0399,,3.99
4-Oct,"10,027.47","10,082.04","10,270.37","9,708.40",5.29B,-0.52%,-0.0052,,-0.52
4-Sep,"10,080.27","10,170.12","10,363.36","9,977.92",4.63B,-0.92%,-0.0092,,-0.92
4-Aug,"10,173.92","10,138.45","10,211.25","9,783.91",3.72B,0.34%,0.0034,,0.34
4-Jul,"10,139.71","10,434.00","10,448.09","9,913.92",4.45B,-2.83%,-0.0283,,-2.83
4-Jun,"10,435.48","10,187.18","10,487.54","10,134.86",4.11B,2.42%,0.0242,,2.42
4-May,"10,188.45","10,227.27","10,386.32","9,852.19",4.02B,-0.36%,-0.0036,,-0.36
4-Apr,"10,225.57","10,357.52","10,570.81","10,219.18",4.53B,-1.28%,-0.0128,,-1.28
4-Mar,"10,357.70","10,582.25","10,695.55","10,007.49",4.97B,-2.14%,-0.0214,,-2.14
4-Feb,"10,583.92","10,487.78","10,753.63","10,434.67",3.82B,0.91%,0.0091,,0.91
4-Jan,"10,488.07","10,452.74","10,705.18","10,367.41",4.38B,0.33%,0.0033,,0.33
3-Dec,"10,453.92","9,785.35","10,462.44","9,785.35",4.17B,6.86%,0.0686,,6.86
3-Nov,"9,782.46","9,802.46","9,903.57","9,585.50",3.55B,-0.19%,-0.0019,,-0.19
3-Oct,"9,801.12","9,276.80","9,850.01","9,276.80",4.79B,5.67%,0.0567,,5.67
3-Sep,"9,275.06","9,416.67","9,686.08","9,230.47",4.39B,-1.49%,-0.0149,,-1.49
3-Aug,"9,415.82","9,232.68","9,499.97","8,997.11",3.81B,1.97%,0.0197,,1.97
